1,72,15,4.8
2,151.5,33,4.59091
4,322,70,4.6
8,666,149.25,4.46231
16,1381,314,4.39809
32,2894.75,658.5,4.39598
64,5979.5,1376.5,4.34399
128,12371.5,2863.5,4.32041
256,25743.2,5957.75,4.32097
